ID;Q_mean;slope_hfd;bfi;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
2908300;nan;nan;nan;nan;0.00;0.08;nan;nan;nan;nan;nan
6976450;0.67;1.58;0.56;123.53;0.14;2.70;14.69;14.10;6.35;5.06;0.00
6984300;0.21;1.23;0.74;37.87;0.07;0.43;0.44;0.44;1.00;1.00;0.00
6972801;0.59;1.39;0.77;108.81;0.21;1.32;0.06;0.06;0.76;0.18;0.00
2998510;0.68;6.64;0.53;125.30;0.02;2.86;95.96;71.50;192.79;137.79;0.00
2998343;0.53;nan;0.21;100.34;0.00;3.33;91.70;365.20;273.50;135.00;0.75
6972300;0.70;3.33;0.52;128.16;0.11;2.67;13.50;12.50;54.30;30.20;0.00
2906300;1.12;6.79;0.51;207.13;0.01;4.10;12.95;2.61;149.03;107.71;0.00
2907200;3.02;2.78;0.58;555.42;0.27;11.36;4.60;4.10;87.20;81.00;0.01
2903430;0.54;5.78;0.58;99.86;0.04;2.13;63.23;57.52;160.96;114.54;0.00
2910300;1.62;3.33;0.49;298.73;0.16;7.55;30.49;20.20;107.88;81.34;0.00
2999920;0.47;11.89;0.33;86.71;0.00;2.54;119.32;91.09;228.85;145.25;0.02
2903500;0.06;nan;0.20;11.45;0.00;0.32;83.00;365.12;283.12;125.75;0.77
6983800;1.73;4.00;0.64;317.44;0.25;5.31;5.50;1.30;58.60;25.00;0.00
2919600;0.79;2.97;0.36;148.96;0.05;3.46;31.40;29.20;144.30;61.70;0.00
6972170;1.44;3.33;0.37;254.01;0.00;5.84;25.69;16.31;102.85;45.62;0.14
6971080;1.18;1.84;0.57;217.40;0.26;4.69;11.00;9.89;14.44;12.22;0.00
2909950;1.03;nan;0.16;195.25;0.00;10.20;42.00;365.20;323.20;131.60;0.89
6971600;0.88;2.68;0.52;161.38;0.15;3.10;12.34;11.06;36.12;35.09;0.00
6971130;0.97;1.43;0.69;177.90;0.26;2.07;0.56;0.55;6.45;2.48;0.00
2998500;0.53;7.68;0.53;96.93;0.01;2.48;82.72;56.45;157.21;105.83;0.00
2910601;0.71;2.84;0.66;129.96;0.16;2.33;0.61;0.34;12.92;11.56;0.00
2903700;0.28;1.75;0.57;50.87;0.02;1.10;36.74;29.57;49.43;32.22;0.00
6971100;0.93;2.78;0.54;170.90;0.16;3.56;14.67;7.00;32.67;30.78;0.00
2903427;0.81;4.99;0.60;149.04;0.11;2.89;33.13;14.09;86.04;72.07;0.00
2909250;0.92;4.83;0.57;169.74;0.11;3.33;12.40;4.70;123.20;89.20;0.00
2906860;0.76;4.96;0.47;139.52;0.02;3.08;16.90;9.60;127.00;87.70;0.02
6979850;0.36;2.10;0.55;66.53;0.00;0.79;7.80;5.60;19.70;9.50;0.05
2901100;1.14;nan;0.29;212.15;0.00;7.20;96.17;365.33;269.17;170.17;0.74
2912602;0.40;2.55;0.70;74.10;0.11;1.08;0.00;0.00;2.47;2.47;0.00
6975100;0.40;1.06;0.50;75.12;0.11;0.96;11.50;7.40;1.50;1.50;0.00
6971451;0.98;3.62;0.59;179.47;0.14;3.77;9.39;8.03;64.92;55.68;0.00
6971150;1.11;2.32;0.73;204.31;0.31;2.69;0.00;0.00;0.40;0.40;0.00
2999500;0.81;2.88;0.60;149.80;0.17;3.37;12.50;12.43;5.07;2.83;0.00
6978250;0.16;0.69;0.81;28.50;0.06;0.32;0.04;0.04;0.36;0.34;0.00
6972600;1.85;3.20;0.47;339.97;0.28;6.95;12.50;10.90;39.10;15.60;0.00
6975150;0.55;0.94;0.53;101.34;0.17;2.09;13.60;11.30;0.50;0.20;0.00
