,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
104,[365],[365],[366],[365],[365],[365],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[310],"[105, 206]",[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,[366],[365],[365],[365],[366],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],"[143, 216]",[365],"[145, 217]",[366],"[142, 218]",[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,
111,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,[365],[365],[366],[365],[365],[365],[366],[365],"[67, 296]",[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],"[59, 306]",[365],[365],[365],[366],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,[365],[366],[365],[365],[365],[366],[365],"[30, 18, 38, 60, 60, 30, 60, 60]","[30, 18, 38, 60, 60, 30, 60, 60]","[30, 18, 38, 60, 60, 30, 60, 60]",[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],"[59, 306]",[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
