,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
10,[0.7027730638649328],[0.6981626082522052],[0.6715869774705201],[0.6947055108830161],[0.6557104057091154],[0.726431517136665],[0.6948099514586479],[0.6749712775604969],[0.6820577235662122],[0.691521662797119],[0.6763099690479328],[0.7023905385158972],[0.6947600903607074],[0.6926731840674226],[0.6704189872116599],[0.688602099188023],[0.6829687205976211],[0.675142902145504],[0.6705272933276113],[0.6394835494831418],[0.7341648877577993],[0.7086430115320962],[0.6773635905580313],[0.6866261416071285],[0.6896407849017331],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,[0.6813819612871574],[0.6753919367276435],[0.7159173654233434],[0.67299709754873],[0.6547575542792364],[0.6700439642070295],[0.7221916927984743],[0.6369670025728232],[0.6855695298213342],[0.6041733683091506],[0.715909629451948],[0.6443076113760001],[0.6844502447806616],[0.6915427859712644],[0.6951767868630739],[0.6793007412029437],[0.6935193437690487],[0.6617432534046391],[0.6737468198584763],[0.6619984235481193],[0.6573953008871504],[0.7105196862154064],[0.6881934540375281],[0.6634051070733646],[0.680735825640581],[0.6555652625573499],[0.7320512321162186],[0.6808641510056738],[0.6610901595332496],[0.6616124380652442],[0.6839965849805193],[0.6510628481401631],[0.686124810816359],[0.7009122677096353],[0.6927956456996295],[0.6569608355063729],[0.6658765969530027],[0.6597865914011927],[0.6795237354289295],[0.6754260366675408],[0.6316852779562093],[0.7233080050389142],[0.7089806224521505],[0.6764950863882614],[0.6824622133971746],[0.6930081048558892],[0.7141060546746778],[0.6887215989559808],[0.7204281519190912],[0.6598244280862132],[0.6591349797023661],[0.7097017619038541],[0.667369880082983],[0.6869468771664634],[0.69252187183935],[0.6935755058412034],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,[0.7043820806169143],[0.5006755039853453],[0.5527369640053308],[0.5858396578325286],[0.5230517212667665],[0.5325859254987939],[0.5397735649827241],[0.5599015829770653],[0.5193204198831526],[0.5200978900317654],[0.5498854401520238],[0.5162116843193832],[0.5646869930579568],[0.5079432100147465],[0.5384618836240772],[0.625431313177885],[0.5878193069418844],[0.5504473998691767],[0.47349498904061454],[0.543585738645755],[0.5927088693242014],[0.565640232590241],[0.526001695460994],[0.48695919546018024],[0.5451868968486855],[0.5673132747069742],[0.5850799895533433],[0.5404104915102018],[0.4883272885009161],[0.5727520563287061],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,[0.5437867380509136],[0.4889068179592843],[0.520424790426511],[0.603488969315325],[0.5718699586347682],[0.559566745288251],[0.615828619556438],[0.611997000958107],[0.5446400011013515],[0.557357528948069],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,[0.5818992679607975],[0.5978222867681313],[0.5869025818831775],[0.6156630531477796],[0.5734867147589499],[0.6102217108939553],[0.5728737733345896],[0.5821944796331491],[0.5880983063170937],[0.6564420377090177],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,[0.48489782801367776],"[0.5239537130601137, 0.6749873241906972]",[0.4781042950713058],[0.5026304234453043],[0.524249903945676],[0.5228938211948675],[0.5045610589382442],[0.4811951685632876],[0.5370332209655777],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[0.19995032748461403, 0.6068426908153804, nan, nan, 0.5443530977752153]","[0.5489623605713813, 0.3338676997618853]",[0.5144011849235424],[0.45227118727694904],[0.5467985130077282],[0.4267057879151586],[0.4462104944435883],[0.4750872820980135],[0.5072349566568249],[0.40839477305934635],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,[0.45487267954253],[0.4578702588564424],[0.4211101180359564],[0.4379330524386777],[0.5006751910502477],[0.44742432008983635],[0.46360400393328527],[0.45077272835164006],[0.4314631155112428],[0.4898652649616229],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,[0.5430954464767201],[0.31165596137986123],[0.46384503999712823],[0.3571978277351501],[0.59224593183973],[0.3688530877758323],[0.3449826030925341],[0.4007624954543413],[0.46794874878396125],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,[0.7428870479058327],[0.8017787348775541],[0.6845751924205414],[0.7370276917045826],[0.7956233878200445],[0.7528244412920326],[0.7232860640601815],[0.7664298788926055],[0.7270252207287161],[0.7225221913623077],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
